Symptom,Variation,Patient Description
uterine contractions,3,"“It’s just… really uncomfortable down there. Like a constant tightening, and it comes and goes. Sometimes it’s just a little pinch, other times it’s almost like a pulling sensation. It’s especially noticeable when I’m resting, and it seems to get worse if I move around a lot.”"
uterine contractions,4,"“It’s just… really uncomfortable. Like, a constant tightening down there. It comes and goes, but when it’s happening, it’s like a really strong wave, and it’s making it hard to even sit still.”"
burning chest pain,1,"“It’s just… this awful feeling in my chest. Like a fire, you know? It comes and goes, usually after I’ve eaten, but sometimes it’s just there, sitting there, really uncomfortable.”"
burning chest pain,2,"“It’s… it’s like a constant ache, really deep in my chest. It comes and goes, sometimes it’s just a dull throb, but then it’ll spike and it feels like fire, like someone’s squeezing me. It’s awful, especially when I’m stressed.”"
burning chest pain,3,"“It’s just… this awful feeling in my chest. Like a fire, you know? It comes and goes, and it’s really intense sometimes, especially after I’ve eaten or if I’ve been stressing about work. It’s hard to describe, but it’s not just a tightness, it feels… hot.”"
burning chest pain,4,"“It’s just… a really uncomfortable feeling in my chest. Like a constant pressure, and sometimes it feels like a hot fire is building up. It comes and goes, mostly when I’m stressed, but it’s been happening even when I’m just resting.”"
back cramps or spasms,1,"“It’s just… really sharp pains, mostly in my lower back. Like a tightening, almost like cramps, that come and go. They seem to get worse if I’ve been sitting for a long time, or after I’ve done a bit of gardening.”"
back cramps or spasms,2,"“It’s just… really awful. Like a constant, tight feeling in my lower back, almost like it’s cramping up on me. It comes and goes, but when it hits, it’s intensely painful and makes it hard to move properly.”"
back cramps or spasms,3,"“It’s just…a really sharp, intense pain in my lower back. Like a tightening, almost like my muscles are clenching up and won’t let go. It comes and goes, and it’s been getting worse lately, especially after I’ve been sitting for a while.”"
back cramps or spasms,4,"“It’s just…a really sharp, sudden pain in my lower back. Like a tightening, and then it’ll just spasm and go wild. It comes and goes, but when it hits, it’s really intense and makes it hard to move.”"
stiffness all over,1,"“It’s just… everything feels so tight. Like moving through honey. I’ve got this stiffness all over, especially in the mornings, but it’s pretty much constant now. It doesn’t really hurt, just…restricted. It’s getting worse, honestly.”"
stiffness all over,2,"“It’s just…everything feels so tight. Like moving through honey. I’ve got this stiffness all over, especially in the mornings, but it’s pretty much constant now. It’s not painful, exactly, just… incredibly restricted.”"
stiffness all over,3,"“It’s just… everything feels so tight. Like moving molasses. It’s not just my hands and arms, it’s really everywhere. My neck, my back, my legs… it’s a constant, heavy feeling, and it’s particularly bad first thing in the morning.”"
stiffness all over,4,"“It’s just… everything feels so tight. Like I’ve been holding it for hours. Really, all over. My arms, my legs, my neck… even my jaw feels stiff sometimes. It’s not a sharp pain, just this constant, heavy feeling.”"
"muscle cramps, contractures, or spasms",1,"“It’s just… it’s getting really bad at night. My legs, especially, they just lock up. Like, hard, tight knots. And then I’ll feel these sharp pains, like a twitching, and sometimes it’s so intense I can’t even move.”"
"muscle cramps, contractures, or spasms",2,"“It’s just… my legs, mostly. They’re constantly going tight, you know? Like they’re seizing up, and it’s getting worse, especially at night. Sometimes it feels like they’re locking up, and I have to really work to stretch them back out.”"
"muscle cramps, contractures, or spasms",3,"“It’s just… my legs, you know? They feel so tight, especially at night. Like they’re locking up, and I have this awful, sharp pain that just shoots through them. Sometimes it’s so bad I can barely move.”"
"muscle cramps, contractures, or spasms",4,"“It’s just… my legs, especially at night. They seize up so suddenly, like they’re locking up. And then they’re all tight and stiff, like they’ve gone rigid. It’s incredibly painful and makes it hard to move.”"
low back cramps or spasms,1,"“It’s just… this awful pain in my lower back. It comes and goes, and sometimes it feels like these really tight spasms, like my muscles are just locking up. It’s the worst when I’ve been sitting for a long time.”"
low back cramps or spasms,2,"“It’s just…this really sharp pain in my lower back. It comes and goes, and sometimes it feels like a muscle cramp, just a really intense spasm that shoots down my leg. It’s mostly at night, and it’s making it hard to get comfortable.”"
low back cramps or spasms,3,"“It’s just… a really tight feeling down there. Like, when I move in certain ways, it just… kind of locks up. It’s not constant, but it comes on suddenly, especially when I’m sitting or standing for a long time.”"
